codigo_a, codigo_b, nome, classe
373T,10,JD. ITÁPOLIS / METRÔ BRESSER,Diurno
3741,10,CPTM D. BOSCO / METRÔ ITAQUERA,Diurno
3742,10,JD. LARANJEIRA / METRÔ ITAQUERA,Diurno
3743,10,SÃO MATEUS / METRÔ ITAQUERA,Diurno
3745,10,JD. IMPERADOR / METRÔ TATUAPÉ,Diurno
3746,31,JD. IMPERADOR / METRÔ BELÉM,Diurno
3746,10,JD. IMPERADOR / METRÔ BELÉM,Diurno
374M,10,CPTM ERMELINO MATARAZZO / METRÔ ITAQUERA,Diurno
374V,10,JD. SANTANA / METRÔ ITAQUERA,Diurno
3751,10,COHAB PRESTES MAIA / METRÔ ITAQUERA,Diurno
3754,10,INÁCIO MONTEIRO / METRÔ ITAQUERA,Diurno
3756,10,BARRO BRANCO / METRÔ ITAQUERA ,Diurno
3761,10,3A. DIVISÃO / METRÔ CARRÃO,Diurno
3762,10,JD. IVA / METRÔ TATUAPÉ,Diurno
3763,10,TERM. VL. CARRÃO / METRÔ TATUAPÉ,Diurno
3766,51,COHAB II / METRÔ ITAQUERA,Diurno
3766,10,COHAB II / METRÔ ITAQUERA,Diurno
3768,10,VL. YOLANDA / CPTM JOSÉ BONIFÁCIO,Diurno
3773,10,RES. STA. BÁRBARA / METRÔ CARRÃO,Diurno
3778,10,JD. STA. TEREZINHA / METRÔ CARRÃO,Diurno
3785,10,COHAB BARRO BRANCO / METRÔ ITAQUERA,Diurno
3787,10,CID. TIRADENTES / METRÔ ITAQUERA,Diurno
3789,10,CID. TIRADENTES / METRÔ ITAQUERA,Diurno
3791,10,SHOP. ARICANDUVA / METRÔ ARTUR ALVIM,Diurno
3795,10,JD. SÃO CARLOS / METRÔ ITAQUERA,Diurno
3796,10,GLEBA DO PESSEGO / METRÔ ITAQUERA,Diurno
3901,10,JD. DANFER / METRÔ PENHA,Diurno
3902,10,CPTM JD. ROMANO / CPTM GUAIANASES,Diurno
3903,10,JD. VL. NOVA / PENHA,Diurno
390E,42,ETEC PQ. BELÉM / METRÔ BELÉM,Diurno
390E,41,ETEC PQ. BELÉM / METRÔ TATUAPÉ,Diurno
390E,10,TERM. PENHA / TERM. PQ. D. PEDRO II,Diurno
4001,10,ITAQUERA / TERM. VL. CARRÃO,Diurno
4002,10,GUAIANASES / TERM. VL. CARRÃO,Diurno
4003,10,INÁCIO MONTEIRO / E.T. ITAQUERA,Diurno
4004,10,TERM. CID. TIRADENTES / BARRO BRANCO,Diurno
4005,10,TERM. CID. TIRADENTES / BARRO BRANCO,Diurno
4006,21,JD. NOVA VITÓRIA / CIRCULAR,Diurno
4006,10,JD. NOVA VITÓRIA / CIRCULAR,Diurno
4007,10,COHAB JUSCELINO / TERM. VL. CARRÃO,Diurno
4008,21,COHAB JOSÉ BONIFÁCIO C  / CIRCULAR,Diurno
4008,10,JD. CIBELE / TERM. VL. CARRÃO,Diurno
